Date,Open,High,Low,Close,Adj Close,Volume,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,decision,decision1,decision2,decision3,decision4,decision5,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,#NAME?,#NAME?,High.1,Low.1,Daily_Return,Cumulative_Return,Sentiment_Diff,Price_Sentiment_Interaction,Month,Decision6
2018-08-07,2855.92,2863.43,2855.92,2858.45,2858.45,3185440000,25.17,25.17,0,8.39,5.706666667,0,0,0,0,0,0,0.291105,0.38814,0.320755,1,0.347685875,-0.02965,0.375266258,0.476666611,0.273865906,2848.03,2798.11,0.002824165,1.002824165,-0.02965,7.32711285,8,1
2018-08-08,2856.79,2862.44,2853.09,2857.7,2857.7,2978070000,-0.75,0,0.75,6.2925,4.4675,0,0,0,0,1,0,0.291105,0.38814,0.320755,1,0.347685875,-0.02965,0.375266258,0.476666611,0.273865906,2848.03,2798.11,-0.00026238,1.002561044,-0.02965,-0.21832875,8,1
2018-08-09,2857.19,2862.48,2851.98,2853.58,2853.58,3066180000,-4.12,0,4.12,5.034,4.398,0,0,0,0,1,0,0.363636,0.326019,0.310345,1,0.337165125,0.053291,0.375266258,0.476666611,0.273865906,2863.43,2796.34,-0.001441719,1.001115633,0.053291,-1.49818032,8,1
2018-08-10,2838.9,2842.2,2825.81,2833.28,2833.28,3265590000,-20.3,0,20.3,4.195,7.048333333,0,0,0,0,0,0,0.363636,0.326019,0.310345,1,0.337165125,0.053291,0.375266258,0.476666611,0.273865906,2863.43,2796.34,-0.007113871,0.993993825,0.053291,-7.3818108,8,1
2018-08-13,2835.46,2843.4,2819.88,2821.93,2821.93,3173630000,-11.35,0,11.35,3.595714286,7.662857143,0,0,0,0,0,0,0.363636,0.326019,0.310345,1,0.337165125,0.053291,0.375266258,0.476666611,0.273865906,2863.43,2796.34,-0.004005958,0.990011928,0.053291,-4.1272686,8,1
2018-08-14,2827.88,2843.11,2826.58,2839.96,2839.96,2986500000,-10.17,0,10.17,5.93,7.09,1,0,0,0,0,0,0.363636,0.326019,0.310345,1,0.337165125,0.053291,0.375266258,0.476666611,0.273865906,2863.43,2796.34,0.006389244,0.996337356,0.053291,-3.69817812,8,1
2018-08-15,2827.95,2827.95,2802.49,2818.37,2818.37,3656680000,-21.59,0,21.59,5.337,8.54,1,0,0,0,0,0,0.363636,0.326019,0.310345,1,0.337165125,0.053291,0.375266258,0.476666611,0.273865906,2863.43,2796.34,-0.00760222,0.988762981,0.053291,-7.85090124,8,1
2018-08-16,2831.44,2850.49,2831.44,2840.69,2840.69,3232000000,22.32,22.32,0,6.880909091,7.763636364,0,0,0,0,0,0,0.361702,0.347518,0.29078,1,0.3339795,0.070922,0.375266258,0.476666611,0.273865906,2862.48,2802.49,0.007919471,0.996593461,0.070922,8.07318864,8,0
2018-08-17,2838.32,2855.63,2833.73,2850.13,2850.13,3037640000,9.44,9.44,0,7.094166667,7.116666667,1,0,0,0,0,0,0.361702,0.347518,0.29078,1,0.3339795,0.070922,0.375266258,0.476666611,0.273865906,2862.48,2802.49,0.003323136,0.999905276,0.070922,3.41446688,8,0
2018-08-20,2853.93,2859.76,2850.62,2857.05,2857.05,2757150000,6.92,6.92,0,7.080769231,6.569230769,1,0,0,0,1,0,0.361702,0.347518,0.29078,1,0.3339795,0.070922,0.375266258,0.476666611,0.273865906,2862.48,2802.49,0.002427959,1.002333006,0.070922,2.50297784,8,0
